source_pn,target_pn,relation,rule_id,confidence,shared,rationale,source,target
S4724,S3797,variant_of,KG-VAR-01,0.9,family=F-4f834c52,"Same product family (F-4f834c52); these differ only on the varying axis such as size, grit or colour.",0,7
571513,565374,variant_of,KG-VAR-01,0.9,family=F-25f1ce9c,"Same product family (F-25f1ce9c); these differ only on the varying axis such as size, grit or colour.",2,6
571513,565622,variant_of,KG-VAR-01,0.9,family=F-25f1ce9c,"Same product family (F-25f1ce9c); these differ only on the varying axis such as size, grit or colour.",2,8
571513,573485,variant_of,KG-VAR-01,0.9,family=F-25f1ce9c,"Same product family (F-25f1ce9c); these differ only on the varying axis such as size, grit or colour.",2,25
1513712,1513707,same_series,KG-SER-01,0.8,series=transcend lineage,Both belong to the Transcend Lineage collection; merchandise together.,11,12
1513712,1513708,same_series,KG-SER-01,0.8,series=transcend lineage,Both belong to the Transcend Lineage collection; merchandise together.,11,19
1513712,543140020,same_series,KG-SER-01,0.8,series=transcend lineage,Both belong to the Transcend Lineage collection; merchandise together.,11,38
